mul_use=1, done=0, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=00000044, alu_op=5b'01100, alu_opE=xxxxx'b, data_wr=00000000
mul_use=1, done=0, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=00000044, alu_op=5b'01100, alu_opE=xxxxx'b, data_wr=00000000
mul_use=1, done=0, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=00000044, alu_op=5b'01100, alu_opE=xxxxx'b, data_wr=00000000
mul_use=1, done=0, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=00000044, alu_op=5b'01100, alu_opE=xxxxx'b, data_wr=00000000
mul_use=1, done=0, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=00000044, alu_op=5b'01100, alu_opE=xxxxx'b, data_wr=00000000
mul_use=1, done=0, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=00000044, alu_op=5b'01100, alu_opE=xxxxx'b, data_wr=00000000
mul_use=1, done=0, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=00000044, alu_op=5b'01100, alu_opE=xxxxx'b, data_wr=00000000
mul_use=1, done=0, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=00000044, alu_op=5b'01100, alu_opE=xxxxx'b, data_wr=00000000
mul_use=1, done=0, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=00000044, alu_op=5b'01100, alu_opE=xxxxx'b, data_wr=00000000
mul_use=1, done=0, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=00000044, alu_op=5b'01100, alu_opE=xxxxx'b, data_wr=00000000
mul_use=1, done=0, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=00000044, alu_op=5b'01100, alu_opE=xxxxx'b, data_wr=00000000
mul_use=1, done=0, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=00000044, alu_op=5b'01100, alu_opE=xxxxx'b, data_wr=00000000
mul_use=1, done=0, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=00000044, alu_op=5b'01100, alu_opE=xxxxx'b, data_wr=00000000
mul_use=1, done=0, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=00000044, alu_op=5b'01100, alu_opE=xxxxx'b, data_wr=00000000
mul_use=1, done=0, start=1, startE=0, operand1=         0, operand2=         0, mul_opcode=xx, mulresult=00000000, result_m=00000000,flagM=0, alu_result=00000044, alu_op=5b'01100, alu_opE=xxxxx'b, data_wr=00000000
